1; 30
2; 16
3; 17
4; 22
5; 23
6; 38
7; 41
8; 1
9; 9
10; 47
11; 50
12; 29
13; 13
14; 48
15; 12
16; 22
17; 47
18; 2
19; 48
20; 34
21; 44
22; 32
23; 6
24; 21
25; 48
26; 14
27; 4
28; 43
29; 43
30; 17
31; 5
32; 22
33; 15
34; 49
35; 16
36; 35
37; 20
38; 21
39; 29
40; 19
41; 32
42; 10
43; 4
44; 18
45; 3
46; 49
47; 29
48; 24
49; 11
50; 39
51; 5
52; 37
53; 46
54; 2
55; 2
56; 50
57; 18
58; 29
59; 46
60; 35
61; 20
62; 39
63; 4
64; 15
65; 40
66; 6
67; 50
68; 32
69; 4
70; 16
71; 29
72; 9
73; 40
74; 2
75; 15
76; 11
77; 10
78; 19
79; 13
80; 44
81; 6
82; 43
83; 39
84; 17
85; 44
86; 40
87; 46
88; 18
89; 44
90; 37
91; 44
92; 30
93; 1
94; 7
95; 14
96; 5
97; 8
98; 19
99; 45
100; 39
101; 34
102; 46
103; 14
104; 42
105; 48
106; 49
107; 44
108; 7
109; 27
110; 17
111; 23
112; 9
113; 38
114; 22
115; 42
116; 50
117; 41
118; 16
119; 29
120; 37
121; 23
122; 16
123; 13
124; 4
125; 29
126; 13
127; 30
128; 6
129; 47
130; 35
131; 26
132; 24
133; 1
134; 2
135; 32
136; 40
137; 3
138; 23
139; 33
140; 47
141; 29
142; 44
143; 39
144; 43
145; 19
146; 34
147; 9
148; 4
149; 38
150; 24
151; 26
